"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"Pre-bloom",5.903668803485769,0.7566394898728614,Inf,4.592279879135707,7.589542941318004,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.83, not greater than the threshold of 1.5",NA,"richness"
"Bloom",5.527957580602978,1.204488857585116,Inf,3.606584083923427,8.47292460174754,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.83, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",6.46718785879118,1.0193055407521414,Inf,4.748495312884814,8.807952002691723,"Boston Bay","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.574, not greater than the threshold of 1.5",NA,"richness"
"Bloom",6.24334598028838,1.2007600454549445,Inf,4.282613706898672,9.10177095048123,"Boston Bay","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.574, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",9.157192073257447,0.6180164935905756,Inf,8.022596589211037,10.452247689893559,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.661, not greater than the threshold of 1.5",NA,"richness"
"Bloom",7.540630683905047,0.5605676252692121,Inf,6.518229854082728,8.723397668376952,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.661, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",10.928351208535094,1.2574432373435815,Inf,8.721943712422839,13.692918009432407,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.049, not greater than the threshold of 1.5",NA,"richness"
"Bloom",12.462190816974328,3.7402134290056477,Inf,6.920343347607717,22.44197898249758,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.049, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",10.21941582967511,0.9151491937037296,Inf,8.574344540703404,12.18011002520861,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.248, not greater than the threshold of 1.5",NA,"richness"
"Bloom",8.910802260624386,0.8473356932460446,Inf,7.395632709366283,10.736389981534456,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.248, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",4.562071891394754,0.5340001898966712,Inf,3.626829829506026,5.738482619982414,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.684, not greater than the threshold of 1.5",NA,"richness"
"Bloom",4.373213900046938,0.4787135135784994,Inf,3.528775343380263,5.41972722957298,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.684, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",12.342053533635726,1.2014698321514534,Inf,10.198233728469939,14.936536020143159,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Species richness","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.752, greater than the threshold of 1.5",NA,"richness"
"Bloom",21.013660878433924,2.9995140371097313,Inf,15.885476098058788,27.797337693126174,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Species richness","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.752, greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",6.963268075907586,1.9294331907713942,Inf,4.045348794396277,11.985889168350411,"Glenelg","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.084, not greater than the threshold of 1.5",NA,"richness"
